Community,County,State_abb
BerkeleyHeightstownship,Union ,NJ
Marpletownship,Delaware ,PA
Tigardcity,Washington ,OR
Gloversvillecity,Fulton ,NY
Bemidjicity,Beltrami ,MN
Springfieldcity,Greene ,MO
Norwoodtown,Norfolk ,MA
Andersoncity,Madison ,IN
Fargocity,Cass ,ND
Wacocity,McLennan ,TX
Shermancity,Grayson ,TX
SanPablocity,Contra Costa ,CA
BowlingGreencity,Warren ,KY
PineBluffcity,Jefferson ,AR
NewUlmcity,Brown ,MN
Maplewoodcity,Ramsey ,MN
Enfieldtown,Hartford ,CT
Glendalecity,Los Angeles ,CA
Worthingtoncity,Franklin ,OH
Arlingtoncity,Tarrant ,TX
Plymouthcity,Hennepin ,MN
NewYorkcity,New York ,NY
Marinacity,Marin ,CA
Lebanoncity,Grafton ,NH
Rockledgecity,Brevard ,FL
Rogerscity,Benton ,AR
Bellairecity,Harris ,TX
ElCajoncity,San Diego ,CA
MosesLakecity,Grant ,WA
WestMemphiscity,Crittenden ,AR
Eunicecity,St. Landry Parish,LA
Laredocity,Webb ,TX
Amsterdamcity,Montgomery ,NY
Gorhamtown,Cumberland ,ME
RockSpringscity,Sweetwater ,WY
Oakdalecity,Stanislaus ,CA
Hendersoncity,Vance ,NC
Norcocity,Sacramento ,CA
Greenvillecity,Washington ,MS
SanCarloscity,San Mateo ,CA
SanAngelocity,Tom Green ,TX
Barbertoncity,Summit ,OH
Pontiaccity,Oakland ,MI
Suffolkcity,Suffolk City,VA
Martinsvillecity,Martinsville City,VA
Bricktownship,Ocean ,NJ
LagunaBeachcity,Orange ,CA
Robstowncity,Nueces ,TX
Wyomingcity,Kent ,MI
Hastingscity,Dakota ,MN
Paragouldcity,Greene ,AR
BeverlyHillscity,Los Angeles ,CA
UniversityHeightscity,Cuyahoga ,OH
Marioncity,Marion ,OH
Toledocity,Lucas ,OH
Philadelphiacity,Philadelphia ,PA
Newtoncity,Middlesex ,MA
OrmondBeachcity,Volusia ,FL
Lynchburgcity,Lynchburg City,VA
Clintoncity,Hinds ,MS
Andersoncity,Anderson ,SC
Mesquitecity,Dallas ,TX
ParkForestvillage,Cook ,IL
ChippewaFallscity,Chippewa ,WI
Beavercreekcity,Greene ,OH
Keenecity,Cheshire ,NH
Springfieldtownship,Clark ,OH
Swissvaleborough,Allegheny ,PA
Knoxvillecity,Knox ,TN
Kernersvilletown,Forsyth ,NC
Bloomingtoncity,Hennepin ,MN
ScotchPlainstownship,Union ,NJ
Newingtontown,Hartford ,CT
Moberlycity,Randolph ,MO
Sandycity,Salt Lake ,UT
Wheatoncity,DuPage ,IL
WhiteLaketownship,Oakland ,MI
Chickashacity,Grady ,OK
Tucsoncity,Pima ,AZ
Gallowaytownship,Atlantic ,NJ
Sweetwatercity,Nolan ,TX
Portsmouthcity,Rockingham ,NH
Hulltown,Plymouth ,MA
Scotttownship,Allegheny ,PA
Pittsfieldtownship,Washtenaw ,MI
Duncanvillecity,Dallas ,TX
Mexicocity,Audrain ,MO
NewProvidenceborough,Union ,NJ
Barnstabletown,Barnstable ,MA
Rutherfordborough,Bergen ,NJ
Portlandcity,Multnomah ,OR
Manassascity,Manassas City,VA
Torrancecity,Los Angeles ,CA
SouthJordancity,Salt Lake ,UT
RedwoodCitycity,San Mateo ,CA
Lancastertownship,Lancaster ,PA
Algonquinvillage,McHenry ,IL
Sebastiancity,Indian River ,FL
GrandForkscity,Grand Forks ,ND
NewHaventown,New Haven ,CT
Westwegocity,West Baton Rouge Parish,LA
Doltonvillage,Cook ,IL
Munstertown,Lake ,IN
Newberrytown,York ,SC
NorthTonawandacity,Erie ,NY
Redlandscity,San Bernardino ,CA
Avondalecity,Maricopa ,AZ
Lafayettecity,Boulder ,CO
Oshkoshcity,Winnebago ,WI
Tukwilacity,King ,WA
Dublincity,Alameda ,CA
Breacity,Alameda ,CA
NorthAugustacity,Aiken ,SC
Tallahasseecity,Leon ,FL
Princetonborough,Mercer ,NJ
Menomoniecity,Dunn ,WI
Sturgiscity,St. Joseph ,MI
Alpharettacity,Fulton ,GA
